_KEY,pattern_hash,pattern,pattern_parts,part_0,pattern_terminator,timestamp_format
$bb7JRN321XO,$bb7JRN321XO,$(yy/MM/dd HH:mm:ss) INFO $: Driver now available: $.$.$.$:$,__TENX_TS__ INFO @@: Driver now available: @@.@@.@@.@@:,,,%y/%m/%d %H:%M:%S
$hGpo4C2K2ac,$hGpo4C2K2ac,"$(yy/MM/dd HH:mm:ss) INFO $/$$: Add WebUI Filter. AddWebUIFilter(org.apache.hadoop.yarn.server.$.$.$,Map(PROXY_HOSTS -> mesos-master-1, PROXY_URI_$ -> http:////mesos-master-1:$//proxy//application_$_$),//proxy//application_$_$)","__TENX_TS__ INFO @@$@@: Add WebUI Filter. AddWebUIFilter(org.apache.hadoop.yarn.server.@@.@@.@@,Map(PROXY_HOSTS -> mesos-master-1, PROXY_URI_@@ -> http://mesos-master-1:@@/proxy/application_@@_@@),/proxy/application_@@_",,),%y/%m/%d %H:%M:%S
ixptecHLsaD,ixptecHLsaD,$(yy/MM/dd HH:mm:ss) INFO $: Connecting to $ at mesos-master-1//$.$.$.$:$,__TENX_TS__ INFO @@: Connecting to @@ at mesos-master-1/@@.@@.@@.@@:,,,%y/%m/%d %H:%M:%S
$GUPr1w02Mr,$GUPr1w02Mr,$(yy/MM/dd HH:mm:ss) INFO $: Registering the $,__TENX_TS__ INFO @@: Registering the ,,,%y/%m/%d %H:%M:%S
f5zozXMtBjq,f5zozXMtBjq,"$(yy/MM/dd HH:mm:ss) INFO $: Will request $ executor containers, each with $ cores and $ MB memory including $ MB overhead","__TENX_TS__ INFO @@: Will request @@ executor containers, each with @@ cores and @@ MB memory including ",, MB overhead,%y/%m/%d %H:%M:%S
$etMcQgmQ8nQ,$etMcQgmQ8nQ,"$(yy/MM/dd HH:mm:ss) INFO $: Container request (host: Any, $: <memory:$, $:$>)","__TENX_TS__ INFO @@: Container request (host: Any, @@: <memory:@@, @@:",,>),%y/%m/%d %H:%M:%S
edKwQsTsT2P,edKwQsTsT2P,"$(yy/MM/dd HH:mm:ss) INFO $: Started progress reporter thread with (heartbeat : $, initial allocation : $) $","__TENX_TS__ INFO @@: Started progress reporter thread with (heartbeat : @@, initial allocation : @@) ",,,%y/%m/%d %H:%M:%S
$c0MXEWe9ZAs,$c0MXEWe9ZAs,$(yy/MM/dd HH:mm:ss) INFO $: Received new token for : mesos-master-1:$,__TENX_TS__ INFO @@: Received new token for : mesos-master-1:,,,%y/%m/%d %H:%M:%S
kwRk3UUD6YY,kwRk3UUD6YY,$(yy/MM/dd HH:mm:ss) INFO $: Received new token for : mesos-$$:$,__TENX_TS__ INFO @@: Received new token for : mesos-@@@@:,,,%y/%m/%d %H:%M:%S
b58QADZ8CN8,b58QADZ8CN8,$(yy/MM/dd HH:mm:ss) INFO $: Launching container container_$_$_$_$ for on host mesos-master-1,__TENX_TS__ INFO @@: Launching container container_@@_@@_@@_,, for on host mesos-master-1,%y/%m/%d %H:%M:%S
gDpZDKzDWF,gDpZDKzDWF,"$(yy/MM/dd HH:mm:ss) INFO $: Launching $. driverUrl: spark:////$.$.$.$:$,  $: mesos-master-1","__TENX_TS__ INFO @@: Launching @@. driverUrl: spark://@@.@@.@@.@@:@@,  ",,: mesos-master-1,%y/%m/%d %H:%M:%S
$h5Yy2vRxfp7,$h5Yy2vRxfp7,$(yy/MM/dd HH:mm:ss) INFO $: Launching container container_$_$_$_$ for on host mesos-$$,__TENX_TS__ INFO @@: Launching container container_@@_@@_@@_@@ for on host mesos-@@,,,%y/%m/%d %H:%M:%S
ghVxGkwEC71,ghVxGkwEC71,$(yy/MM/dd HH:mm:ss) INFO $: Starting Executor Container,__TENX_TS__ INFO ,,: Starting Executor Container,%y/%m/%d %H:%M:%S
$cm8Nl55KSt6,$cm8Nl55KSt6,"$(yy/MM/dd HH:mm:ss) INFO $: Launching $. driverUrl: spark:////$.$.$.$:$,  $: mesos-$$","__TENX_TS__ INFO @@: Launching @@. driverUrl: spark://@@.@@.@@.@@:@@,  @@: mesos-@@",,,%y/%m/%d %H:%M:%S
$fqkjm2a3xS0,$fqkjm2a3xS0,$(yy/MM/dd HH:mm:ss) INFO $: yarn.client.max-cached-$-$ : $,__TENX_TS__ INFO @@: yarn.client.max-cached-@@-@@ : ,,,%y/%m/%d %H:%M:%S
etlOLr1j6Ov,etlOLr1j6Ov,$(yy/MM/dd HH:mm:ss) INFO $: Setting up $,__TENX_TS__ INFO @@: Setting up ,,,%y/%m/%d %H:%M:%S
$kB7RpZ8AFgS,$kB7RpZ8AFgS,"$(yy/MM/dd HH:mm:ss) INFO $: Received $ containers from YARN, launching executors on $ of them.","__TENX_TS__ INFO @@: Received @@ containers from YARN, launching executors on ",, of them.,%y/%m/%d %H:%M:%S
xCCk6dGvKJ,xCCk6dGvKJ,$(yy/MM/dd HH:mm:ss) INFO $: $ Local resources,__TENX_TS__ INFO @@: ,, Local resources,%y/%m/%d %H:%M:%S
jznmzVEV4XB,jznmzVEV4XB,"$(yy/MM/dd HH:mm:ss) INFO $: $ Local resources Map(__spark__.jar -> resource { scheme: ""hdfs"" host: ""$.$.$.$"" port: $ file: ""//user//$//.$//application_$_$//spark-$-1.$.$-$.$.$.jar"" } size: $ timestamp: $ type: FILE visibility: $, pyspark.zip -> resource { scheme: ""hdfs"" host: ""$.$.$.$"" port: $ file: ""//user//$//.$//application_$_$//pyspark.zip"" } size: $ timestamp: $ type: FILE visibility: $, py4j$.$-src.zip -> resource { scheme: ""hdfs"" host: ""$.$.$.$"" port: $ file: ""//user//$//.$//application_$_$//py4j$.$-src.zip"" } size: $ timestamp: $ type: FILE visibility: $)","__TENX_TS__ INFO @@: @@ Local resources Map(__spark__.jar -> resource { scheme: ""hdfs"" host: ""@@.@@.@@.@@"" port: @@ file: ""/user/@@/.@@/application_@@_@@/spark-@@-1.@@.@@-@@.@@.@@.jar"" } size: @@ timestamp: @@ type: FILE visibility: @@, pyspark.zip -> resource { scheme: ""hdfs"" host: ""@@.@@.@@.@@"" port: @@ file: ""/user/@@/.@@/application_@@_@@/pyspark.zip"" } size: @@ timestamp: @@ type: FILE visibility: @@, py4j@@.@@-src.zip -> resource { scheme: ""hdfs"" host: ""@@.@@.@@.@@"" port: @@ file: ""/user/@@/.@@/application_@@_@@/py4j@@.@@-src.zip"" } size: @@ timestamp: @@ type: FILE visibility: ",,),%y/%m/%d %H:%M:%S
$J64TbDL8jg,$J64TbDL8jg,"$(yy/MM/dd HH:mm:ss) INFO $: 
===============================================================================
YARN executor launch context:
  env:
    $ -> {{$}}<$>{{$}}//__spark__.jar<$>/$HADOOP_CONF_DIR<$>/$HADOOP_$_HOME//share//hadoop//common//*<$>/$HADOOP_$_HOME//share//hadoop//common//lib//*<$>/$HADOOP_HDFS_HOME//share//hadoop//hdfs//*<$>/$HADOOP_HDFS_HOME//share//hadoop//hdfs//lib//*<$>/$HADOOP_YARN_HOME//share//hadoop//yarn//*<$>/$HADOOP_YARN_HOME//share//hadoop//yarn//lib//*<$>/$HADOOP_$_HOME//share//hadoop//mapreduce//*<$>/$HADOOP_$_HOME//share//hadoop//mapreduce//lib//*<$>//$//local//hadoop//etc//hadoop://$//local//hadoop//share//hadoop//common//lib//*://$//local//hadoop//share//hadoop//common//*://$//local//hadoop//share//hadoop//hdfs://$//local//hadoop//share//hadoop//hdfs//lib//*://$//local//hadoop//share//hadoop//hdfs//*://$//local//hadoop//share//hadoop//yarn//lib//*://$//local//hadoop//share//hadoop//yarn//*://$//local//hadoop//share//hadoop//mapreduce//lib//*://$//local//hadoop//share//hadoop//mapreduce//*://contrib//capacity-scheduler//*.jar","__TENX_TS__ INFO @@: 
===============================================================================
YARN executor launch context:
  env:
    @@ -> {{@@}}<@@>{{@@}}/__spark__.jar<@@>$HADOOP_CONF_DIR<@@>$HADOOP_@@_HOME/share/hadoop/common/*<@@>$HADOOP_@@_HOME/share/hadoop/common/lib/*<@@>$HADOOP_HDFS_HOME/share/hadoop/hdfs/*<@@>$HADOOP_HDFS_HOME/share/hadoop/hdfs/lib/*<@@>$HADOOP_YARN_HOME/share/hadoop/yarn/*<@@>$HADOOP_YARN_HOME/share/hadoop/yarn/lib/*<@@>$HADOOP_@@_HOME/share/hadoop/mapreduce/*<@@>$HADOOP_@@_HOME/share/hadoop/mapreduce/lib/*<@@>/@@/local/hadoop/etc/hadoop:/@@/local/hadoop/share/hadoop/common/lib/*:/@@/local/hadoop/share/hadoop/common/*:/@@/local/hadoop/share/hadoop/hdfs:/@@/local/hadoop/share/hadoop/hdfs/lib/*:/@@/local/hadoop/share/hadoop/hdfs/*:/@@/local/hadoop/share/hadoop/yarn/lib/*:/@@/local/hadoop/share/hadoop/yarn/*:/@@/local/hadoop/share/hadoop/mapreduce/lib/*:/",,/local/hadoop/share/hadoop/mapreduce/*:/contrib/capacity-scheduler/*.jar,%y/%m/%d %H:%M:%S
fi95n3a4MMz,fi95n3a4MMz,"    SPARK_LOG_URL_STDERR -> http:////mesos-master-1:$//node//$//container_$(epoch)_$_$_$//$//$=$
    SPARK_$_$ -> //$//local//hadoop//etc//hadoop://$//local//hadoop//share//hadoop//common//lib//*://$//local//hadoop//share//hadoop//common//*://$//local//hadoop//share//hadoop//hdfs://$//local//hadoop//share//hadoop//hdfs//lib//*://$//local//hadoop//share//hadoop//hdfs//*://$//local//hadoop//share//hadoop//yarn//lib//*://$//local//hadoop//share//hadoop//yarn//*://$//local//hadoop//share//hadoop//mapreduce//lib//*://$//local//hadoop//share//hadoop//mapreduce//*://contrib//capacity-scheduler//*.jar","    SPARK_LOG_URL_STDERR -> http://mesos-master-1:@@/node/@@/container___TENX_TS___@@_@@_@@/@@/@@=@@
    SPARK_@@_@@ -> /@@/local/hadoop/etc/hadoop:/@@/local/hadoop/share/hadoop/common/lib/*:/@@/local/hadoop/share/hadoop/common/*:/@@/local/hadoop/share/hadoop/hdfs:/@@/local/hadoop/share/hadoop/hdfs/lib/*:/@@/local/hadoop/share/hadoop/hdfs/*:/@@/local/hadoop/share/hadoop/yarn/lib/*:/@@/local/hadoop/share/hadoop/yarn/*:/@@/local/hadoop/share/hadoop/mapreduce/lib/*:/",,/local/hadoop/share/hadoop/mapreduce/*:/contrib/capacity-scheduler/*.jar,%s%Q
$ibE8EtQGbm9,$ibE8EtQGbm9,"    SPARK_YARN_STAGING_DIR -> .$//application_$(epoch)_$
    SPARK_YARN_CACHE_FILES_FILE_$ -> $,$,$
    SPARK_USER -> $
    SPARK_YARN_CACHE_FILES_$ -> $,$,$
    SPARK_YARN_MODE -> true","    SPARK_YARN_STAGING_DIR -> .@@/application___TENX_TS___@@
    SPARK_YARN_CACHE_FILES_FILE_@@ -> @@,@@,@@
    SPARK_USER -> @@
    SPARK_YARN_CACHE_FILES_@@ -> @@,@@,",,"
    SPARK_YARN_MODE -> true",%s%Q
$kGdGWhL5Hpk,$kGdGWhL5Hpk,"    SPARK_YARN_CACHE_FILES_TIME_$ -> $(epoch),$,$
    PYTHONPATH -> {{$}}//pyspark.zip<$>{{$}}//py4j$.$-src.zip","    SPARK_YARN_CACHE_FILES_TIME_@@ -> __TENX_TS__,@@,@@
    PYTHONPATH -> {{@@}}/pyspark.zip<@@>{{@@}}/py4j@@.",,-src.zip,%s%Q
$gSctynhMcP2,$gSctynhMcP2,    SPARK_LOG_URL_STDOUT -> http:////mesos-master-1:$//node//$//container_$(epoch)_$_$_$//$//$=$,    SPARK_LOG_URL_STDOUT -> http://mesos-master-1:@@/node/@@/container___TENX_TS___@@_@@_@@/@@/@@=,,,%s%Q
$k2WBx1nQnC0,$k2WBx1nQnC0,"    SPARK_YARN_CACHE_FILES -> hdfs:////$.$.$.$:$//user//$//.$//application_$(epoch)_$//spark-$-1.$.$-$.$.$.$__spark__.jar,hdfs:////$.$.$.$:$//user//$//.$//application_$_$//pyspark.$.zip,hdfs:////$.$.$.$:$//user//$//.$//application_$_$//py4j$.$-src.$$.$-src.zip
  command:","    SPARK_YARN_CACHE_FILES -> hdfs://@@.@@.@@.@@:@@/user/@@/.@@/application___TENX_TS___@@/spark-@@-1.@@.@@-@@.@@.@@.@@__spark__.jar,hdfs://@@.@@.@@.@@:@@/user/@@/.@@/application_@@_@@/pyspark.@@.zip,hdfs://@@.@@.@@.@@:@@/user/@@/.@@/application_@@_@@/py4j@@.@@-src.@@@@.",,"-src.zip
  command:",%s%Q
hwEOtKTlmgl,hwEOtKTlmgl,"    {{JAVA_HOME}}//bin//java -server -XX:$='kill $' -$ -$ -$.io.tmpdir={{$}}//tmp '-Dspark.driver.port=$' -Dspark.yarn.app.container.log.dir=<LOG_DIR> -XX:$=$ org.apache.spark.executor.CoarseGrainedExecutorBackend --driver-url spark:////$.$.$.$:$ --executor-id $ --hostname mesos-master-1 --cores $ --app-id application_$(epoch)_$ --user-class-path file:/$$//__app__.jar $> <LOG_DIR>//stdout $> <LOG_DIR>//stderr
===============================================================================",    {{JAVA_HOME}}/bin/java -server -XX:@@='kill @@' -@@ -@@ -@@.io.tmpdir={{@@}}/tmp '-Dspark.driver.port=@@' -Dspark.yarn.app.container.log.dir=<LOG_DIR> -XX:@@=@@ org.apache.spark.executor.CoarseGrainedExecutorBackend --driver-url spark://@@.@@.@@.@@:@@ --executor-id @@ --hostname mesos-master-1 --cores @@ --app-id application___TENX_TS___@@ --user-class-path file:$@@/__app__.jar @@> <LOG_DIR>/stdout ,,"> <LOG_DIR>/stderr
===============================================================================",%s%Q
fv0Y7XxvMlY,fv0Y7XxvMlY,"    SPARK_LOG_URL_STDERR -> http:////mesos-$$:$//node//$//container_$(epoch)_$_$_$//$//$=$
    SPARK_$_$ -> //$//local//hadoop//etc//hadoop://$//local//hadoop//share//hadoop//common//lib//*://$//local//hadoop//share//hadoop//common//*://$//local//hadoop//share//hadoop//hdfs://$//local//hadoop//share//hadoop//hdfs//lib//*://$//local//hadoop//share//hadoop//hdfs//*://$//local//hadoop//share//hadoop//yarn//lib//*://$//local//hadoop//share//hadoop//yarn//*://$//local//hadoop//share//hadoop//mapreduce//lib//*://$//local//hadoop//share//hadoop//mapreduce//*://contrib//capacity-scheduler//*.jar","    SPARK_LOG_URL_STDERR -> http://mesos-@@@@:@@/node/@@/container___TENX_TS___@@_@@_@@/@@/@@=@@
    SPARK_@@_@@ -> /@@/local/hadoop/etc/hadoop:/@@/local/hadoop/share/hadoop/common/lib/*:/@@/local/hadoop/share/hadoop/common/*:/@@/local/hadoop/share/hadoop/hdfs:/@@/local/hadoop/share/hadoop/hdfs/lib/*:/@@/local/hadoop/share/hadoop/hdfs/*:/@@/local/hadoop/share/hadoop/yarn/lib/*:/@@/local/hadoop/share/hadoop/yarn/*:/@@/local/hadoop/share/hadoop/mapreduce/lib/*:/",,/local/hadoop/share/hadoop/mapreduce/*:/contrib/capacity-scheduler/*.jar,%s%Q
$hjqAQhbyH1R,$hjqAQhbyH1R,    SPARK_LOG_URL_STDOUT -> http:////mesos-$$:$//node//$//container_$(epoch)_$_$_$//$//$=$,    SPARK_LOG_URL_STDOUT -> http://mesos-@@@@:@@/node/@@/container___TENX_TS___@@_@@_@@/@@/@@=,,,%s%Q
$ikvWoYBsi1g,$ikvWoYBsi1g,"    {{JAVA_HOME}}//bin//java -server -XX:$='kill $' -$ -$ -$.io.tmpdir={{$}}//tmp '-Dspark.driver.port=$' -Dspark.yarn.app.container.log.dir=<LOG_DIR> -XX:$=$ org.apache.spark.executor.CoarseGrainedExecutorBackend --driver-url spark:////$.$.$.$:$ --executor-id $ --hostname mesos-$$ --cores $ --app-id application_$(epoch)_$ --user-class-path file:/$$//__app__.jar $> <LOG_DIR>//stdout $> <LOG_DIR>//stderr
===============================================================================",    {{JAVA_HOME}}/bin/java -server -XX:@@='kill @@' -@@ -@@ -@@.io.tmpdir={{@@}}/tmp '-Dspark.driver.port=@@' -Dspark.yarn.app.container.log.dir=<LOG_DIR> -XX:@@=@@ org.apache.spark.executor.CoarseGrainedExecutorBackend --driver-url spark://@@.@@.@@.@@:@@ --executor-id @@ --hostname mesos-@@@@ --cores @@ --app-id application___TENX_TS___@@ --user-class-path file:$@@/__app__.jar @@> <LOG_DIR>/stdout ,,"> <LOG_DIR>/stderr
===============================================================================",%s%Q
$fwqP3sK2Cxs,$fwqP3sK2Cxs,$(yy/MM/dd HH:mm:ss) INFO $: $ proxy : mesos-master-1:$,__TENX_TS__ INFO @@: @@ proxy : mesos-master-1:,,,%y/%m/%d %H:%M:%S
iip03GqCvDH,iip03GqCvDH,$(yy/MM/dd HH:mm:ss) INFO $: $ proxy : mesos-$$:$,__TENX_TS__ INFO @@: @@ proxy : mesos-@@@@:,,,%y/%m/%d %H:%M:%S
jSpzLWRs7c,jSpzLWRs7c,"Exception in thread ""$-1"" java.lang.Error: org.apache.spark.SparkException: Exception while starting container container_$(epoch)_$_$_$ on host mesos-$$
	at java.util.concurrent.ThreadPoolExecutor.$0(ThreadPoolExecutor.java:$)
	at java.util.concurrent.ThreadPoolExecutor/$Worker.run(ThreadPoolExecutor.java:$)
	at java.lang.Thread.run(Thread.java:$)","Exception in thread ""@@-1"" java.lang.Error: org.apache.spark.SparkException: Exception while starting container container___TENX_TS___@@_@@_@@ on host mesos-@@@@
	at java.util.concurrent.ThreadPoolExecutor.@@0(ThreadPoolExecutor.java:@@)
	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:@@)
	at java.lang.Thread.run(Thread.java:",,),%s%Q
T4oGBbro4u,T4oGBbro4u,"Caused by: org.apache.spark.SparkException: Exception while starting container container_$(epoch)_$_$_$ on host mesos-$$
	at org.apache.spark.deploy.yarn.$.$0($.scala:$)
	at org.apache.spark.deploy.yarn.$.run($.scala:$)
	at java.util.concurrent.ThreadPoolExecutor.$0(ThreadPoolExecutor.java:$)
	... $ more
Caused by: org.apache.hadoop.yarn.exceptions.$: Unauthorized request to start container. ","Caused by: org.apache.spark.SparkException: Exception while starting container container___TENX_TS___@@_@@_@@ on host mesos-@@@@
	at org.apache.spark.deploy.yarn.@@.@@0(@@.scala:@@)
	at org.apache.spark.deploy.yarn.@@.run(@@.scala:@@)
	at java.util.concurrent.ThreadPoolExecutor.@@0(ThreadPoolExecutor.java:@@)
	... @@ more
Caused by: org.apache.hadoop.yarn.exceptions.",,: Unauthorized request to start container. ,%s%Q
7y71rYOY2a,7y71rYOY2a,"This token is expired. current time is $(epoch) found $
Note: System times on machines may be out of sync. Check system time and time $.
	at sun.reflect.$.$0($ Method)
	at sun.reflect.$.newInstance($.java:$)
	at sun.reflect.$.newInstance($.java:$)
	at java.lang.reflect.$.newInstance($.java:$)
	at org.apache.hadoop.yarn.api.records.impl.pb.$.$0($.java:$)
	at org.apache.hadoop.yarn.api.records.impl.pb.$.$0($.java:$)
	at org.apache.hadoop.yarn.client.api.impl.$.$0($.java:$)
	at org.apache.spark.deploy.yarn.$.$0($.scala:$)
	... $ more","This token is expired. current time is __TENX_TS__ found @@
Note: System times on machines may be out of sync. Check system time and time @@.
	at sun.reflect.@@.@@0(@@ Method)
	at sun.reflect.@@.newInstance(@@.java:@@)
	at sun.reflect.@@.newInstance(@@.java:@@)
	at java.lang.reflect.@@.newInstance(@@.java:@@)
	at org.apache.hadoop.yarn.api.records.impl.pb.@@.@@0(@@.java:@@)
	at org.apache.hadoop.yarn.api.records.impl.pb.@@.@@0(@@.java:@@)
	at org.apache.hadoop.yarn.client.api.impl.@@.@@0(@@.java:@@)
	at org.apache.spark.deploy.yarn.@@.@@0(@@.scala:@@)
	... ",, more,%s%Q
jV5SzHCr1Wd,jV5SzHCr1Wd,$(yy/MM/dd HH:mm:ss) INFO $: Received new token for : mesos-master$:$,__TENX_TS__ INFO @@: Received new token for : mesos-master@@:,,,%y/%m/%d %H:%M:%S
bntOtTk1TWQ,bntOtTk1TWQ,$(yy/MM/dd HH:mm:ss) INFO $: Launching container container_$_$_$_$ for on host mesos-master$,__TENX_TS__ INFO @@: Launching container container_@@_@@_@@_@@ for on host mesos-master,,,%y/%m/%d %H:%M:%S
$iOMBR0l5HW2,$iOMBR0l5HW2,"$(yy/MM/dd HH:mm:ss) INFO $: Launching $. driverUrl: spark:////$.$.$.$:$,  $: mesos-master$","__TENX_TS__ INFO @@: Launching @@. driverUrl: spark://@@.@@.@@.@@:@@,  @@: mesos-master",,,%y/%m/%d %H:%M:%S
foSw5Y7Uetx,foSw5Y7Uetx,"    SPARK_LOG_URL_STDERR -> http:////mesos-master$:$//node//$//container_$(epoch)_$_$_$//$//$=$
    SPARK_$_$ -> //$//local//hadoop//etc//hadoop://$//local//hadoop//share//hadoop//common//lib//*://$//local//hadoop//share//hadoop//common//*://$//local//hadoop//share//hadoop//hdfs://$//local//hadoop//share//hadoop//hdfs//lib//*://$//local//hadoop//share//hadoop//hdfs//*://$//local//hadoop//share//hadoop//yarn//lib//*://$//local//hadoop//share//hadoop//yarn//*://$//local//hadoop//share//hadoop//mapreduce//lib//*://$//local//hadoop//share//hadoop//mapreduce//*://contrib//capacity-scheduler//*.jar","    SPARK_LOG_URL_STDERR -> http://mesos-master@@:@@/node/@@/container___TENX_TS___@@_@@_@@/@@/@@=@@
    SPARK_@@_@@ -> /@@/local/hadoop/etc/hadoop:/@@/local/hadoop/share/hadoop/common/lib/*:/@@/local/hadoop/share/hadoop/common/*:/@@/local/hadoop/share/hadoop/hdfs:/@@/local/hadoop/share/hadoop/hdfs/lib/*:/@@/local/hadoop/share/hadoop/hdfs/*:/@@/local/hadoop/share/hadoop/yarn/lib/*:/@@/local/hadoop/share/hadoop/yarn/*:/@@/local/hadoop/share/hadoop/mapreduce/lib/*:/",,/local/hadoop/share/hadoop/mapreduce/*:/contrib/capacity-scheduler/*.jar,%s%Q
jbJoUE2pQrt,jbJoUE2pQrt,    SPARK_LOG_URL_STDOUT -> http:////mesos-master$:$//node//$//container_$(epoch)_$_$_$//$//$=$,    SPARK_LOG_URL_STDOUT -> http://mesos-master@@:@@/node/@@/container___TENX_TS___@@_@@_@@/@@/@@=,,,%s%Q
iCfv2HYTCvL,iCfv2HYTCvL,"    {{JAVA_HOME}}//bin//java -server -XX:$='kill $' -$ -$ -$.io.tmpdir={{$}}//tmp '-Dspark.driver.port=$' -Dspark.yarn.app.container.log.dir=<LOG_DIR> -XX:$=$ org.apache.spark.executor.CoarseGrainedExecutorBackend --driver-url spark:////$.$.$.$:$ --executor-id $ --hostname mesos-master$ --cores $ --app-id application_$(epoch)_$ --user-class-path file:/$$//__app__.jar $> <LOG_DIR>//stdout $> <LOG_DIR>//stderr
===============================================================================",    {{JAVA_HOME}}/bin/java -server -XX:@@='kill @@' -@@ -@@ -@@.io.tmpdir={{@@}}/tmp '-Dspark.driver.port=@@' -Dspark.yarn.app.container.log.dir=<LOG_DIR> -XX:@@=@@ org.apache.spark.executor.CoarseGrainedExecutorBackend --driver-url spark://@@.@@.@@.@@:@@ --executor-id @@ --hostname mesos-master@@ --cores @@ --app-id application___TENX_TS___@@ --user-class-path file:$@@/__app__.jar @@> <LOG_DIR>/stdout ,,"> <LOG_DIR>/stderr
===============================================================================",%s%Q
$dtCgN4SNQTn,$dtCgN4SNQTn,$(yy/MM/dd HH:mm:ss) INFO $: $ proxy : mesos-master$:$,__TENX_TS__ INFO @@: @@ proxy : mesos-master@@:,,,%y/%m/%d %H:%M:%S
jgjifoefVgS,jgjifoefVgS,"Exception in thread ""$$"" java.lang.Error: org.apache.spark.SparkException: Exception while starting container container_$(epoch)_$_$_$ on host mesos-$$
	at java.util.concurrent.ThreadPoolExecutor.$0(ThreadPoolExecutor.java:$)
	at java.util.concurrent.ThreadPoolExecutor/$Worker.run(ThreadPoolExecutor.java:$)
	at java.lang.Thread.run(Thread.java:$)","Exception in thread ""@@@@"" java.lang.Error: org.apache.spark.SparkException: Exception while starting container container___TENX_TS___@@_@@_@@ on host mesos-@@@@
	at java.util.concurrent.ThreadPoolExecutor.@@0(ThreadPoolExecutor.java:@@)
	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:@@)
	at java.lang.Thread.run(Thread.java:",,),%s%Q
$eLSclsyZMsD,$eLSclsyZMsD,$(yy/MM/dd HH:mm:ss) INFO $/$$: Driver terminated or $ Shutting down. mesos-master-1:$,__TENX_TS__ INFO @@$@@: Driver terminated or @@ Shutting down. mesos-master-1:,,,%y/%m/%d %H:%M:%S
$k4XSLVe6rSK,$k4XSLVe6rSK,"$(yy/MM/dd HH:mm:ss) INFO $: Final app status: SUCCEEDED, exitCode: $","__TENX_TS__ INFO @@: Final app status: SUCCEEDED, exitCode: ",,,%y/%m/%d %H:%M:%S
fsCDsOnyg4t,fsCDsOnyg4t,$(yy/MM/dd HH:mm:ss) INFO $: $ $ with SUCCEEDED,__TENX_TS__ INFO @@: @@ ,, with SUCCEEDED,%y/%m/%d %H:%M:%S
bxAd3qxdKVW,bxAd3qxdKVW,$(yy/MM/dd HH:mm:ss) INFO $: Waiting for application to be successfully unregistered.,__TENX_TS__ INFO ,,: Waiting for application to be successfully unregistered.,%y/%m/%d %H:%M:%S
$hlLuQaVOYqS,$hlLuQaVOYqS,$(yy/MM/dd HH:mm:ss) INFO $: Deleting staging directory .$//application_$_$,__TENX_TS__ INFO @@: Deleting staging directory .@@/application_@@_,,,%y/%m/%d %H:%M:%S
$fxNSTwkxY7Y,$fxNSTwkxY7Y,$(yy/MM/dd HH:mm:ss) INFO ShutdownHookManager: Shutdown hook called,,,__TENX_TS__ INFO ShutdownHookManager: Shutdown hook called,%y/%m/%d %H:%M:%S
kLMhUEk2jG4,kLMhUEk2jG4,$(yy/MM/dd HH:mm:ss) INFO util.ShutdownHookManager: Deleting directory //opt//hdfs//nodemanager//$//$//$//application_$_$//spark-$-$-$-$-$,__TENX_TS__ INFO util.ShutdownHookManager: Deleting directory /opt/hdfs/nodemanager/@@/@@/@@/application_@@_@@/spark-@@-@@-@@-@@-,,,%y/%m/%d %H:%M:%S
$f2LLpEax9K4,$f2LLpEax9K4,$(yy/MM/dd HH:mm:ss) INFO storage.DiskBlockManager: Created local directory at //opt//hdfs//nodemanager//$//$//$//application_$_$//blockmgr$-$-$-$-$,__TENX_TS__ INFO storage.DiskBlockManager: Created local directory at /opt/hdfs/nodemanager/@@/@@/@@/application_@@_@@/blockmgr@@-@@-@@-@@-,,,%y/%m/%d %H:%M:%S
$dPskQOVvIvQ,$dPskQOVvIvQ,$(yy/MM/dd HH:mm:ss) INFO storage.DiskBlockManager: Created local directory at //opt//hdfs//nodemanager//$//$//$//application_$_$//blockmgr$$-$$-$,__TENX_TS__ INFO storage.DiskBlockManager: Created local directory at /opt/hdfs/nodemanager/@@/@@/@@/application_@@_@@/blockmgr@@@@-@@@@-,,,%y/%m/%d %H:%M:%S
$gkyQb9DBLhC,$gkyQb9DBLhC,"$(yy/MM/dd HH:mm:ss) INFO util.ShutdownHookManager: Shutdown hook called
$ up _JAVA_OPTIONS: -$.io.tmpdir=//opt//hdfs//tmp","__TENX_TS__ INFO util.ShutdownHookManager: Shutdown hook called
@@ up _JAVA_OPTIONS: -",,.io.tmpdir=/opt/hdfs/tmp,%y/%m/%d %H:%M:%S
$RUtrJnfUpX,$RUtrJnfUpX,$(yy/MM/dd HH:mm:ss) INFO $: $ started; listening on addresses :[akka.$:////$-master$:$],__TENX_TS__ INFO @@: @@ started; listening on addresses :[akka.@@://@@-master@@:,,],%y/%m/%d %H:%M:%S
$jCRj0DPg08r,$jCRj0DPg08r,$(yy/MM/dd HH:mm:ss) INFO executor.Executor: Starting executor ID $ on host mesos-master$,__TENX_TS__ INFO executor.Executor: Starting executor ID @@ on host mesos-master,,,%y/%m/%d %H:%M:%S
